player,n_events,sg_total,sg_ott,sg_app,sg_arg,sg_putt,made_cut_rate,wins,top10s,cluster_abs,cluster_res,stability_abs,stability_res
Erik van Rooyen,35,0.31,0.18514285714285716,0.1957142857142857,0.004,-0.07542857142857143,0.6285714285714286,0,5,0,2,0.905,0.655
Ernie Els,68,-0.5725,-0.30367647058823527,-0.4117647058823529,0.09779411764705882,0.04544117647058824,0.45588235294117646,0,1,2,1,0.935,0.49
Fabian Gomez,119,-0.5752100840336135,-0.1910924369747899,-0.350672268907563,0.10907563025210085,-0.1422689075630252,0.47058823529411764,2,3,2,1,0.99,0.47
Francesco Molinari,94,0.19297872340425531,0.2469148936170213,0.2497872340425532,0.06393617021276596,-0.3718085106382979,0.7553191489361702,2,16,0,2,0.96,0.98
Freddie Jacobson,51,-0.6082352941176471,-0.44803921568627453,-0.31058823529411766,-0.06607843137254903,0.21647058823529414,0.5098039215686274,0,4,2,3,0.845,0.79
Garrick Higgo,19,-0.7368421052631579,0.10052631578947369,-0.19736842105263158,-0.4526315789473684,-0.18842105263157896,0.47368421052631576,1,1,1,0,0.945,0.89
Gary Woodland,134,0.45873134328358206,0.3029850746268657,0.34507462686567164,-0.08641791044776119,-0.11156716417910449,0.7313432835820896,2,26,0,2,0.935,0.81
Geoff Ogilvy,55,-0.8467272727272728,-0.22545454545454546,-0.34181818181818185,0.057818181818181824,-0.3358181818181818,0.41818181818181815,0,3,2,3,0.825,0.545
George McNeill,65,-0.8672307692307691,-0.35923076923076924,0.13923076923076924,-0.24646153846153845,-0.39907692307692305,0.4461538461538462,0,1,1,2,0.67,0.81
Graeme McDowell,82,-0.2603658536585366,-0.2742682926829268,-0.03536585365853658,-0.09378048780487805,0.14402439024390246,0.5975609756097561,0,8,2,3,0.93,0.8
Graham DeLaet,54,-0.42444444444444446,0.1087037037037037,0.16999999999999998,-0.5192592592592592,-0.18425925925925923,0.5555555555555556,0,12,1,0,0.85,0.535
Grayson Murray,87,-1.1358620689655172,0.08252873563218391,-0.365632183908046,-0.20666666666666667,-0.6811494252873563,0.4827586206896552,1,5,1,2,0.76,0.925
Greg Chalmers,73,-1.165890410958904,-0.4249315068493151,-0.9606849315068493,-0.015205479452054792,0.2089041095890411,0.4520547945205479,0,0,3,1,0.39,0.825
Greyson Sigg,23,-0.716086956521739,-0.013043478260869563,-0.15478260869565216,-0.12043478260869565,-0.41304347826086957,0.6086956521739131,0,0,1,2,0.615,0.9
Hank Lebioda,70,-0.2988571428571429,-0.12785714285714284,0.03314285714285715,0.04628571428571429,-0.18857142857142856,0.5285714285714286,0,3,2,3,0.59,0.42
Hao-Tong Li,20,-0.9155000000000001,-0.019000000000000006,-0.272,-0.45099999999999996,-0.174,0.6,0,0,1,0,0.935,0.94
Harold Varner III,142,0.1067605633802817,0.2400704225352113,0.08429577464788733,0.00464788732394366,-0.22950704225352114,0.676056338028169,0,11,0,2,0.96,0.915
Harris English,150,0.0866,-0.20806666666666668,-0.10293333333333334,0.08793333333333334,0.3138,0.68,2,19,2,3,0.97,0.83
Harry Higgs,69,-0.34,-0.03217391304347827,-0.4117391304347826,-0.01507246376811594,0.10188405797101448,0.5362318840579711,0,4,2,1,0.855,0.81
Hayden Buckley,21,-0.8804761904761904,0.32857142857142857,-0.24523809523809526,-0.42857142857142855,-0.5085714285714286,0.47619047619047616,0,2,1,0,0.86,0.545
Henrik Norlander,78,-0.3821794871794872,0.04602564102564103,0.13525641025641025,-0.16641025641025642,-0.408974358974359,0.5512820512820513,0,6,0,2,0.73,0.94
Henrik Stenson,67,0.29402985074626864,-0.030447761194029845,0.7085074626865672,-0.1426865671641791,-0.24164179104477615,0.6268656716417911,1,13,0,2,0.96,0.895
Hideki Matsuyama,126,0.939047619047619,0.32103174603174606,0.6812698412698412,0.19444444444444445,-0.2588888888888889,0.8333333333333334,4,32,0,2,0.94,0.975
Hudson Swafford,144,-0.5161805555555555,0.12284722222222223,-0.095,-0.4727083333333333,-0.04750000000000001,0.5347222222222222,1,8,1,0,0.895,0.9
Hunter Mahan,108,-1.0720370370370371,0.14398148148148146,-0.9312962962962963,-0.4540740740740741,0.16953703703703701,0.42592592592592593,0,1,1,1,0.78,0.735
Ian Poulter,93,0.41161290322580646,-0.06731182795698924,0.09225806451612903,0.17193548387096774,0.21580645161290324,0.7956989247311828,1,13,2,3,0.755,0.83
J.B. Holmes,107,-0.08130841121495326,0.2594392523364486,-0.035140186915887855,0.014299065420560753,-0.3204672897196262,0.6074766355140186,2,14,0,2,0.91,0.93
J.J. Henry,106,-0.8816981132075471,-0.07622641509433963,-0.1631132075471698,-0.10962264150943397,-0.5335849056603774,0.44339622641509435,0,1,1,2,0.615,0.96
J.J. Spaun,118,-0.3905932203389831,0.16483050847457625,-0.16466101694915253,-0.1514406779661017,-0.2109322033898305,0.6271186440677966,1,8,1,0,0.53,0.86
J.T. Poston,127,-0.24472440944881887,0.04834645669291338,-0.36503937007874016,-0.02700787401574803,0.09125984251968504,0.5984251968503937,1,10,2,1,0.81,0.745
